race_id,race_title,race_distance,race_elevation
1,title della gara,100KM,700 D+
420,Thracian Ultra 2021 - Yagodina Cave Ultra 95,5070 M+,94.8 KM
2,HOKA ONE ONE Bandera Endurance Trail Run 2021 - 100 Km,1720 M+,99.5 KM
396,THP tour 2021 - T5,85.8 KM,3360 M+
397,ZúmbadorTrail 2021 - UltraMaraton,85.8 KM,5040 M+
1481,TIKEN TRAIL 2022 - 28 kms,630 M+,27.7 KM
419,Cruel Jewel 2021 - Cruel Jewel 50,5140 M+,95.1 KM
418,High Coast Ultra 2021 - 130 Km,3290 M+,129.8 KM
417,Highland Way 180 2021,5610 M+,273.6 KM
416,Trail du Grand Sénonais 2021 - Le Brennus,3120 M+,130 KM
415,Sardinia Trail 2021,3830 M+,101.5 KM
414,Ultra Maratona Caminhos Do Tejo 2021 - 145km,1580 M+,144.2 KM
413,Bryce Canyon 2021 - Bryce Canyon 50 Km,1710 M+,53 KM
412,THP tour 2021 - T9,6050 M+,154.6 KM
411,THP tour 2021 - T1,680 M+,17 KM
410,Oh Meu Deus 2021 - OH MEU DEUS 160 TEAM,7330 M+,159.2 KM
409,Oh Meu Deus 2021 - 100 Milhas OMD,7330 M+,159.2 KM
408,Cruel Jewel 2021 - Cruel Jewel 100,9510 M+,178.1 KM
407,Glyndwr 100 Race/ Relay 2021 - The Glyndwr 100 mile Challenge,4720 M+,163.3 KM
406,Oh Meu Deus 2021 - Viriatus,9210 M+,203.4 KM
405,Squaw Peak 50 Mile Trail Run 2021 - 50 Mile,3360 M+,82.8 KM
404,Riaño Trail Run 2021 - RIAÑO 3xTRAIL RUN,6750 M+,88.8 KM
403,Bryce Canyon 2021 - 50 Mile,2860 M+,83.1 KM
402,Oh Meu Deus 2021 - OH MEU DEUS 100 TEAM,4310 M+,98.2 KM
401,Ultra-Trail® Australia 2021 - UTA22,800 M+,22.2 KM
400,Oh Meu Deus 2021 - K100+,4310 M+,98.2 KM
399,THP tour 2021 - T2,1350 M+,34.2 KM
398,THP tour 2021 - T3,2020 M+,51.4 KM
135,The Great Southern Alps Miler 2021,3180 M+,160.3 KM
131,Hong Kong 100 2021 - Vibram Hong Kong 100 Half VIRTUAL,1980 M+,56 KM
95,Brazil 135+ Ultramarathon 2021 - Maratona 3,3460 M+,127.1 KM
94,Brazil 135+ Ultramarathon 2021 - 135 Miles,6010 M+,209.3 KM
92,S1 Trail La Corsa Della Bora 2021 - S1 Sprint 16 km,490 M+,15.9 KM
40,UTCL100 2021 - UTCL 102 KM,4040 M+,102.4 KM
495,Trail du Grand Sénonais 2021 - La Sénonaise,1340 M+,59.7 KM
2297,TRAIL GORDÓN 2022 - Trail Gordón 22K,2300 M+,22 KM
2296,Xrace 2022 - Xrace - Traseul Malaia,2130 M+,47 KM
2295,Ultra Trail Cote d'Azur Mercantour 2022 - UTCAM - 95km,5880 M+,94 KM
2294,Humanity Direct Devil's Lite 2022 - Devils Challenge Lite,1530 M+,50 KM
2293,CM6 2022 - CM4,4370 M+,80.7 KM
2292,Rabid Raccoon 100 2022 - Rabid Raccoon 100 Mile Relay,5151 M+,160.9 KM
2291,Sulphur Springs Trail Race 2022 - Sulphur Springs Trail Race 50k,1225 M+,50 KM
2290,Rabid Raccoon 100 2022 - 100 Mile,5151 M+,160.9 KM
2289,Snowdon24 2022 - Kilimanjaro Award,6755 M+,94 KM
2288,U.A.I. Ultramaratona Dos Anjos Internacional 2022 - 95km,2470 M+,95 KM
2287,Beacons 50 & Beacons 100 2022 - Beacons 50,3290 M+,86.3 KM
2285,Austur Ultra 2022 - Austur Ultra 9 km,216 M+,9 KM
2276,Stranda Fjord Trail Race 2022 - 100K,7150 M+,99.5 KM
2273,Trans D' Havet 2022 - Transd'Havet Ultra,5500 M+,80 KM
2023,High Atlas Ultra Trail 2022 - HAUT 160,8500 M+,152 KM
